id,name,code,country,founded,national,logo,venue_id,venue_name,venue_city,venue_capacity,venue_surface,venue_address,venue_image,league_id
33,Manchester United,MUN,England,1878.0,False,https://media.api-sports.io/football/teams/33.png,556,Old Trafford,Manchester,76212,grass,Sir Matt Busby Way,https://media.api-sports.io/football/venues/556.png,39
34,Newcastle,NEW,England,1892.0,False,https://media.api-sports.io/football/teams/34.png,562,St. James' Park,Newcastle upon Tyne,52758,grass,St. James&apos; Street,https://media.api-sports.io/football/venues/562.png,39
35,Bournemouth,BOU,England,1899.0,False,https://media.api-sports.io/football/teams/35.png,504,Vitality Stadium,"Bournemouth, Dorset",12000,grass,"Dean Court, Kings Park",https://media.api-sports.io/football/venues/504.png,39
36,Fulham,FUL,England,1879.0,False,https://media.api-sports.io/football/teams/36.png,535,Craven Cottage,London,29589,grass,Stevenage Road,https://media.api-sports.io/football/venues/535.png,39
39,Wolves,WOL,England,1877.0,False,https://media.api-sports.io/football/teams/39.png,600,Molineux Stadium,"Wolverhampton, West Midlands",34624,grass,Waterloo Road,https://media.api-sports.io/football/venues/600.png,39
40,Liverpool,LIV,England,1892.0,False,https://media.api-sports.io/football/teams/40.png,550,Anfield,Liverpool,61276,grass,Anfield Road,https://media.api-sports.io/football/venues/550.png,39
42,Arsenal,ARS,England,1886.0,False,https://media.api-sports.io/football/teams/42.png,494,Emirates Stadium,London,60383,grass,Hornsey Road,https://media.api-sports.io/football/venues/494.png,39
44,Burnley,BUR,England,1882.0,False,https://media.api-sports.io/football/teams/44.png,512,Turf Moor,Burnley,22546,grass,Harry Potts Way,https://media.api-sports.io/football/venues/512.png,39
45,Everton,EVE,England,1878.0,False,https://media.api-sports.io/football/teams/45.png,22033,Hill Dickinson Stadium,"Liverpool, Merseyside",52888,grass,"35 Regent Road, Bramley-Moore Dock, Vauxhall",https://media.api-sports.io/football/venues/22033.png,39
47,Tottenham,TOT,England,1882.0,False,https://media.api-sports.io/football/teams/47.png,593,Tottenham Hotspur Stadium,London,62850,grass,"Bill Nicholson Way, 748 High Road",https://media.api-sports.io/football/venues/593.png,39
48,West Ham,WES,England,1895.0,False,https://media.api-sports.io/football/teams/48.png,598,London Stadium,London,64472,grass,"Marshgate Lane, Stratford",https://media.api-sports.io/football/venues/598.png,39
49,Chelsea,CHE,England,1905.0,False,https://media.api-sports.io/football/teams/49.png,519,Stamford Bridge,London,41841,grass,Fulham Road,https://media.api-sports.io/football/venues/519.png,39
50,Manchester City,MAC,England,1880.0,False,https://media.api-sports.io/football/teams/50.png,555,Etihad Stadium,Manchester,55097,grass,Rowsley Street,https://media.api-sports.io/football/venues/555.png,39
51,Brighton,BRI,England,1901.0,False,https://media.api-sports.io/football/teams/51.png,508,American Express Stadium,"Falmer, East Sussex",31872,grass,Village Way,https://media.api-sports.io/football/venues/508.png,39
52,Crystal Palace,CRY,England,1861.0,False,https://media.api-sports.io/football/teams/52.png,525,Selhurst Park,London,26309,grass,Holmesdale Road,https://media.api-sports.io/football/venues/525.png,39
55,Brentford,BRE,England,1889.0,False,https://media.api-sports.io/football/teams/55.png,10503,Gtech Community Stadium,"Brentford, Middlesex",17250,grass,"166 Lionel Rd N, Brentford",https://media.api-sports.io/football/venues/10503.png,39
62,Sheffield Utd,SHE,England,1889.0,False,https://media.api-sports.io/football/teams/62.png,581,Bramall Lane,Sheffield,32702,grass,Bramall Lane,https://media.api-sports.io/football/venues/581.png,39
65,Nottingham Forest,NOT,England,1865.0,False,https://media.api-sports.io/football/teams/65.png,566,The City Ground,"Nottingham, Nottinghamshire",30576,grass,Pavilion Road,https://media.api-sports.io/football/venues/566.png,39
